external_id,partner_id,name,code,company_id
getenergy.warehouse_144,getenergy.partner_144,Alberton - Shell - Alrode,144,Get Energy Today (Pty) Ltd
getenergy.warehouse_148,getenergy.partner_148,Bethlehem - Engen,148,Get Energy Today (Pty) Ltd
getenergy.warehouse_147,getenergy.partner_147,Bloemfontein - Engen - Hamilton,147,Get Energy Today (Pty) Ltd
getenergy.warehouse_186,getenergy.partner_186,Cedarville - WBG Depot,186,Get Energy Today (Pty) Ltd
getenergy.warehouse_188,getenergy.partner_188,Cliffdale - WBG Depot,188,Get Energy Today (Pty) Ltd
getenergy.warehouse_635,getenergy.partner_635,CPT - BP - Montague,635,Get Energy Today (Pty) Ltd
getenergy.warehouse_157,getenergy.partner_157,CPT - Engen - Montague,157,Get Energy Today (Pty) Ltd
getenergy.warehouse_176,getenergy.partner_176,CPT - Shell - Killarney,176,Get Energy Today (Pty) Ltd
getenergy.warehouse_187,getenergy.partner_187,Creighton - WBG Depot - KZN,187,Get Energy Today (Pty) Ltd
getenergy.warehouse_570,getenergy.partner_570,DBN - BP - Island View,570,Get Energy Today (Pty) Ltd
getenergy.warehouse_159,getenergy.partner_159,DBN - Chemicals  (IVD),159,Get Energy Today (Pty) Ltd
getenergy.warehouse_158,getenergy.partner_158,DBN - Engen - Wentworth,158,Get Energy Today (Pty) Ltd
getenergy.warehouse_175,getenergy.partner_175,DBN - Shell - Island View,175,Get Energy Today (Pty) Ltd
getenergy.warehouse_160,getenergy.partner_160,East London - Engen Terminal,160,Get Energy Today (Pty) Ltd
getenergy.warehouse_181,getenergy.partner_181,Ermelo - WBG Depot,181,Get Energy Today (Pty) Ltd
getenergy.warehouse_145,getenergy.partner_145,Klerksdorp - BP ,145,Get Energy Today (Pty) Ltd
getenergy.warehouse_638,getenergy.partner_638,Klerksdorp - Engen,638,Get Energy Today (Pty) Ltd
getenergy.warehouse_146,getenergy.partner_146,Kroonstad - Engen ,146,Get Energy Today (Pty) Ltd
getenergy.warehouse_149,getenergy.partner_149,Krugersdorp - Puma - Tarlton,149,Get Energy Today (Pty) Ltd
getenergy.warehouse_165,getenergy.partner_165,Ladysmith - Engen,165,Get Energy Today (Pty) Ltd
getenergy.warehouse_143,getenergy.partner_143,Langlaagte - Puma,143,Get Energy Today (Pty) Ltd
getenergy.warehouse_156,getenergy.partner_156,Makhado - Engen,156,Get Energy Today (Pty) Ltd
getenergy.warehouse_831,getenergy.partner_831,Matola - Puma - Mozambique,831,Get Energy Today (Pty) Ltd
getenergy.warehouse_155,getenergy.partner_155,Mokopane - Engen,155,Get Energy Today (Pty) Ltd
getenergy.warehouse_162,getenergy.partner_162,Mossel Bay - Petro SA,162,Get Energy Today (Pty) Ltd
getenergy.warehouse_152,getenergy.partner_152,Nelspruit - Shell - Wolfaardt,152,Get Energy Today (Pty) Ltd
getenergy.warehouse_161,getenergy.partner_161,PE - NRWS - Dom Pedro Terminal,161,Get Energy Today (Pty) Ltd
getenergy.warehouse_189,getenergy.partner_189,Port Shepstone - WBG Depot - Marburg,189,Get Energy Today (Pty) Ltd
getenergy.warehouse_177,getenergy.partner_177,Pretoria - BP - Waltloo,177,Get Energy Today (Pty) Ltd
getenergy.warehouse_150,getenergy.partner_150,Pretoria - Engen - Waltloo,150,Get Energy Today (Pty) Ltd
getenergy.warehouse_164,getenergy.partner_164,Richards Bay - Puma,164,Get Energy Today (Pty) Ltd
getenergy.warehouse_153,getenergy.partner_153,Rustenburg - ENGEN,153,Get Energy Today (Pty) Ltd
getenergy.warehouse_154,getenergy.partner_154,Secunda - Sasol - Unitrans Control,154,Get Energy Today (Pty) Ltd
getenergy.warehouse_163,getenergy.partner_163,Upington - Engen,163,Get Energy Today (Pty) Ltd
getenergy.warehouse_151,getenergy.partner_151,Witbank - Engen,151,Get Energy Today (Pty) Ltd
