"id","sequence","parent_id/id","name"
"thevirtualcoop.product_public_category_inputs","10000","","Inputs"
"thevirtualcoop.product_public_category_inputs_agrochemicals","10500","thevirtualcoop.product_public_category_inputs","Agrochemicals"
thevirtualcoop.product_public_category_crop_input_insecticide,"10505","thevirtualcoop.product_public_category_inputs_agrochemicals","Insecticides"
thevirtualcoop.product_public_category_crop_input_fungicide,"10510","thevirtualcoop.product_public_category_inputs_agrochemicals","Fungicides"
thevirtualcoop.product_public_category_crop_input_herbicide,"10515","thevirtualcoop.product_public_category_inputs_agrochemicals","Herbicide"
thevirtualcoop.product_public_category_crop_input_nematicide,"10520","thevirtualcoop.product_public_category_inputs_agrochemicals","Nematicides"
thevirtualcoop.product_public_category_crop_input_acaricide,"10525","thevirtualcoop.product_public_category_inputs_agrochemicals","Acaricides"
thevirtualcoop.product_public_category_crop_input_bactericide,"10530","thevirtualcoop.product_public_category_inputs_agrochemicals","Bactericides"
thevirtualcoop.product_public_category_crop_input_rodenticide,"10535","thevirtualcoop.product_public_category_inputs_agrochemicals","Rodenticides"
thevirtualcoop.product_public_category_crop_input_molluscicide,"10540","thevirtualcoop.product_public_category_inputs_agrochemicals","Molluscicides"
thevirtualcoop.product_public_category_crop_input_adjuvants,"10545","thevirtualcoop.product_public_category_inputs_agrochemicals","Adjuvants"
thevirtualcoop.product_public_category_crop_input_growth_regulator,"10550","thevirtualcoop.product_public_category_inputs_agrochemicals","Growth Regulators"
"thevirtualcoop.product_public_category_inputs_fuel_lubricants","10600","thevirtualcoop.product_public_category_inputs","Fuel & Lubricants"
