product_category_id,product_public_category_id,count
agri.product_category_crop_input_insecticide,thevirtualcoop.product_public_category_crop_input_insecticide,22685
agri.product_category_crop_input_fungicide,thevirtualcoop.product_public_category_crop_input_fungicide,10410
"agri.product_category_crop_input_acaricide,agri.product_category_crop_input_insecticide","thevirtualcoop.product_public_category_crop_input_acaricide,thevirtualcoop.product_public_category_crop_input_insecticide",9222
agri.product_category_crop_input_herbicide,thevirtualcoop.product_public_category_crop_input_herbicide,6262
"agri.product_category_crop_input_bactericide,agri.product_category_crop_input_fungicide","thevirtualcoop.product_public_category_crop_input_bactericide,thevirtualcoop.product_public_category_crop_input_fungicide",5221
"agri.product_category_crop_input_acaricide,agri.product_category_crop_input_bactericide,agri.product_category_crop_input_fungicide","thevirtualcoop.product_public_category_crop_input_acaricide,thevirtualcoop.product_public_category_crop_input_bactericide,thevirtualcoop.product_public_category_crop_input_fungicide",1662
"agri.product_category_crop_input_acaricide,agri.product_category_crop_input_insecticide,agri.product_category_crop_input_molluscicide","thevirtualcoop.product_public_category_crop_input_acaricide,thevirtualcoop.product_public_category_crop_input_insecticide,thevirtualcoop.product_public_category_crop_input_molluscicide",1232
agri.product_category_crop_input_nematicide,thevirtualcoop.product_public_category_crop_input_nematicide,1186
"agri.product_category_crop_input_insecticide,agri.product_category_crop_input_nematicide","thevirtualcoop.product_public_category_crop_input_insecticide,thevirtualcoop.product_public_category_crop_input_nematicide",848
"agri.product_category_crop_input_insecticide,agri.product_category_crop_input_molluscicide","thevirtualcoop.product_public_category_crop_input_insecticide,thevirtualcoop.product_public_category_crop_input_molluscicide",689
"agri.product_category_crop_input_acaricide,agri.product_category_crop_input_fungicide,agri.product_category_crop_input_insecticide","thevirtualcoop.product_public_category_crop_input_acaricide,thevirtualcoop.product_public_category_crop_input_fungicide,thevirtualcoop.product_public_category_crop_input_insecticide",642
agri.product_category_crop_input_acaricide,thevirtualcoop.product_public_category_crop_input_acaricide,503
"agri.product_category_crop_input_acaricide,agri.product_category_crop_input_growth_regulator,agri.product_category_crop_input_insecticide","thevirtualcoop.product_public_category_crop_input_acaricide,thevirtualcoop.product_public_category_crop_input_growth_regulator,thevirtualcoop.product_public_category_crop_input_insecticide",406
agri.product_category_crop_input_growth_regulator,thevirtualcoop.product_public_category_crop_input_growth_regulator,359
"agri.product_category_crop_input_fungicide,agri.product_category_crop_input_herbicide,agri.product_category_crop_input_nematicide","thevirtualcoop.product_public_category_crop_input_fungicide,thevirtualcoop.product_public_category_crop_input_herbicide,thevirtualcoop.product_public_category_crop_input_nematicide",210
"agri.product_category_crop_input_acaricide,agri.product_category_crop_input_insecticide,agri.product_category_crop_input_nematicide","thevirtualcoop.product_public_category_crop_input_acaricide,thevirtualcoop.product_public_category_crop_input_insecticide,thevirtualcoop.product_public_category_crop_input_nematicide",157
agri.product_category_crop_input_rodenticide,thevirtualcoop.product_public_category_crop_input_rodenticide,18
agri.product_category_crop_input_molluscicide,thevirtualcoop.product_public_category_crop_input_molluscicide,16
agri.product_category_crop_input_adjuvants,thevirtualcoop.product_public_category_crop_input_adjuvants,13
"agri.product_category_crop_input_fungicide,agri.product_category_crop_input_insecticide","thevirtualcoop.product_public_category_crop_input_fungicide,thevirtualcoop.product_public_category_crop_input_insecticide",12
